!1112.FPMF;1                                                                     
 0 1  1    20.93     1.73   -47.33     2.92  0.0447     2.06     1.25
 0 1  2    21.42     3.37   -56.64     0.66 -0.4067     3.41     3.36
 0 2  2    22.36     1.98   -57.19     3.66 -0.4348     3.63     3.39
 0 3  1    19.37     3.92   -48.93     4.03  0.0317     2.01     1.25
 0 3  2    23.92     2.64   -53.27     7.96 -0.4253     3.41     3.31
 0 4  1    17.19     5.12   -49.22     3.04  0.0293     2.16     1.35
 0 4  2    29.19     4.30   -58.46     6.70 -0.4426     2.95     2.74
 0 0 11    19.23     4.09   -48.46     3.48  0.0352     1.20     0.74
 0 0 12    24.66     4.61   -56.60     6.01 -0.4295     1.66     1.58
 0 0 13    21.09     4.99   -49.92     5.12 -0.2477     0.97     1.49    21.63   -50.50     3.06     3.01
  
 1 2  1     0.37     3.23    -4.72     2.90 -0.1910     1.93     1.11
 1 2  2    -2.95     5.90     2.31     2.63 -0.4587     1.62     1.41
 1 3  1    -4.85     1.56    -0.81     0.71  0.1657     1.00     0.60
 1 3  2    -2.42     4.94     4.00     2.44 -0.4318     1.87     1.75
 1 4  1    -7.60     2.50    -2.40     1.90  0.1772     1.22     0.71
 1 4  2    -4.65     6.33     3.03     5.43 -0.4397     1.64     1.46
 1 1 11    -5.08     3.35    -1.95     2.15  0.0506     0.72     0.43
 1 1 12    -3.41     5.89     3.00     3.91 -0.4448     0.98     0.88
 1 1 13    -4.50     4.47    -1.01     3.23 -0.1825     0.58     2.61    -4.67    -0.80     2.91     1.88
  
 2 1  1    -0.37     3.23     4.72     2.90 -0.1910     1.93     1.11
 2 1  2     2.95     5.90    -2.31     2.63 -0.4587     1.62     1.41
 2 3  1    -4.79     2.66     2.76     2.07 -0.2318     1.83     1.05
 2 3  2     0.86     3.72     2.20     4.50 -0.4990     1.61     1.37
 2 4  1    -5.57     3.22     3.82     2.18 -0.2302     1.67     0.96
 2 4  2    -1.39     3.38     3.23     2.49 -0.4775     1.15     0.97
 2 2 11    -3.81     3.78     3.74     2.50 -0.2177     1.04     0.60
 2 2 12     0.26     4.60     1.65     3.88 -0.4772     0.81     0.69
 2 2 13    -1.28     4.73     2.84     3.33 -0.3437     0.64     2.21    -2.17     3.13     2.92     2.10
  
 3 1  1     4.85     1.56     0.81     0.71  0.1657     1.00     0.60
 3 1  2     2.42     4.94    -4.00     2.44 -0.4318     1.87     1.75
 3 2  1     4.79     2.66    -2.76     2.07 -0.2318     1.83     1.05
 3 2  2    -0.86     3.72    -2.20     4.50 -0.4990     1.61     1.37
 3 4  1    -0.01     1.25     1.56     1.23  0.1092     1.06     0.60
 3 4  2    -4.50     1.63     3.19     3.73 -0.4737     1.60     1.40
 3 3 11     2.87     2.90     0.63     1.87  0.0143     0.68     0.40
 3 3 12    -1.32     4.49    -0.63     4.86 -0.4709     0.97     0.85
 3 3 13     1.50     4.01     0.41     2.70 -0.2062     0.55     2.79     1.64     0.47     2.43     1.74
  
 4 1  1     7.60     2.50     2.40     1.90  0.1772     1.22     0.71
 4 1  2     4.65     6.33    -3.03     5.43 -0.4397     1.64     1.46
 4 2  1     5.57     3.22    -3.82     2.18 -0.2302     1.67     0.96
 4 2  2     1.39     3.38    -3.23     2.49 -0.4775     1.15     0.97
 4 3  1     0.01     1.25    -1.56     1.23  0.1092     1.06     0.60
 4 3  2     4.50     1.63    -3.19     3.73 -0.4737     1.60     1.40
 4 4 11     3.71     4.14    -0.63     2.87  0.0187     0.72     0.41
 4 4 12     2.98     4.32    -3.17     3.67 -0.4636     0.81     0.70
 4 4 13     3.39     4.24    -1.29     3.29 -0.2224     0.54     2.80     3.36    -1.60     2.99     2.26
  
