     1   -41.010  -41.020   5.00 
     2   -31.020   39.040   5.10 
     3   -21.010  -31.020   5.20 
     4   -11.020   29.040   5.30 
     5    -1.010  -21.020   5.40 
     6     9.020   19.040   5.50 
     7    19.010  -11.020   5.60 
     8    29.020   -1.040   5.70 
     9    39.010  -31.020   5.80 
    10    34.020   39.040   5.90 
    11    24.010  -41.020   6.00 
    12    14.020   29.040   6.10 
    13     4.010  -31.020   6.20 
    14    -6.020   19.040   6.30 
    15   -16.010  -21.020   6.40 
    16   -26.020    9.040   6.50 
    17   -36.010  -11.020   6.60 
    18   -46.020   -1.040   6.70 
    19    44.010  -46.020   6.80 
    20    -1.020   -1.040   6.90 
